name
PL-05703 Forvia 567L Xtemp Hot Cycle_1
Title
Cobra 1.3.00
Author
DAQ3.powertech.local
Log Rate = 0.500000

Time	RH	Ttank	Tamb	Tfuel	Fout	Ptank	SOC
2025-11-10 15:06:09.7967	99.964195	62.950098	52.433106	-17.089370	2.678569	71.819369	91.237958
2025-11-10 15:06:10.2967	100.009859	63.000000	52.420524	-17.082652	2.681753	71.811283	91.220949
2025-11-10 15:06:10.7967	99.846239	62.949902	52.444831	-17.051545	2.683452	71.803790	91.224035
2025-11-10 15:06:11.2967	99.839746	62.950000	52.438893	-17.045652	2.676228	71.798026	91.218883
2025-11-10 15:06:11.7967	100.023250	62.900098	52.429037	-17.014772	2.678538	71.784736	91.216786
2025-11-10 15:06:12.2967	100.140963	62.900000	52.456298	-16.997012	2.678900	71.767784	91.201630
2025-11-10 15:06:12.7967	100.016337	62.900000	52.423020	-16.973203	2.677290	71.774802	91.207905
2025-11-10 15:06:13.2967	100.049450	62.900000	52.439712	-16.953907	2.680034	71.772496	91.205844
2025-11-10 15:06:13.7967	99.754447	62.900000	52.464202	-16.955610	2.684769	71.749730	91.185487
2025-11-10 15:06:14.2967	99.747667	62.900000	52.438921	-16.921309	2.680816	71.741457	91.178089
2025-11-10 15:06:14.7967	100.239506	62.850000	52.452886	-16.918922	2.675390	71.744000	91.190146
2025-11-10 15:06:15.2967	100.036302	62.850000	52.446113	-16.884239	2.676220	71.719928	91.168615
2025-11-10 15:06:15.7967	99.820135	62.850000	52.433792	-16.871974	2.677759	71.725759	91.173832
2025-11-10 15:06:16.2967	99.773933	62.850000	52.456052	-16.845999	2.677285	71.699314	91.150175
2025-11-10 15:06:16.7967	100.082467	62.800000	52.439738	-16.833349	2.677943	71.708672	91.168329
2025-11-10 15:06:17.2967	100.108579	62.800000	52.429018	-16.825484	2.678672	71.684634	91.146822
2025-11-10 15:06:17.7967	99.852496	62.799902	52.470145	-16.788462	2.672447	71.674225	91.137508
2025-11-10 15:06:18.2967	99.951275	62.750098	52.445147	-16.788348	2.668603	71.681192	91.153526
2025-11-10 15:06:18.7967	100.003329	62.750000	52.451700	-16.757028	2.667918	71.670089	91.143589
2025-11-10 15:06:19.2967	100.219821	62.750000	52.465188	-16.737945	2.679111	71.661375	91.135791
2025-11-10 15:06:19.7967	99.937877	62.750000	52.426178	-16.725524	2.683657	71.652441	91.127795
2025-11-10 15:06:20.2967	99.924928	62.700000	52.441053	-16.706592	2.680534	71.643881	91.129916
2025-11-10 15:06:20.7967	100.082202	62.700098	52.445714	-16.699208	2.687581	71.630421	91.117865
2025-11-10 15:06:21.2967	100.003631	62.700000	52.418028	-16.692700	2.682562	71.614927	91.103992
2025-11-10 15:06:21.7967	99.878645	62.700000	52.438185	-16.668168	2.675705	71.603942	91.094156
2025-11-10 15:06:22.2967	99.957702	62.650098	52.449294	-16.640343	2.672135	71.604298	91.104258
2025-11-10 15:06:22.7967	99.938076	62.650098	52.434321	-16.625651	2.673220	71.599212	91.099704
2025-11-10 15:06:23.2967	100.115013	62.650000	52.453780	-16.609175	2.663821	71.577734	91.080466
2025-11-10 15:06:23.7967	100.226549	62.600098	52.453207	-16.587599	2.667069	71.581972	91.094048
2025-11-10 15:06:24.2967	100.167494	62.600000	52.442031	-16.575770	2.672430	71.558256	91.072801
2025-11-10 15:06:24.7967	100.036538	62.600000	52.451668	-16.566640	2.667570	71.559714	91.074107
2025-11-10 15:06:25.2967	99.688876	62.600000	52.457425	-16.546502	2.669888	71.544202	91.060210
2025-11-10 15:06:25.7967	99.904992	62.599902	52.457477	-16.519212	2.682465	71.528742	91.046356
2025-11-10 15:06:26.2967	100.088452	62.550098	52.471367	-16.502925	2.683052	71.534777	91.061548
2025-11-10 15:06:26.7967	99.964239	62.550098	52.446884	-16.479486	2.691678	71.518995	91.047404
2025-11-10 15:06:27.2967	99.721584	62.550000	52.455029	-16.478825	2.683850	71.501907	91.032087
2025-11-10 15:06:27.7967	99.852703	62.550000	52.467654	-16.478986	2.684938	71.490210	91.021601
2025-11-10 15:06:28.2967	100.219747	62.550000	52.425960	-16.458932	2.681273	71.488074	91.019686
2025-11-10 15:06:28.7967	100.252705	62.549902	52.453849	-16.435980	2.681973	71.483192	91.015309
2025-11-10 15:06:29.2967	100.016897	62.500098	52.438994	-16.420160	2.673797	71.474106	91.016946
2025-11-10 15:06:29.7967	99.892183	62.500000	52.434374	-16.408012	2.676656	71.462765	91.006777
2025-11-10 15:06:30.2967	100.095070	62.499902	52.459515	-16.378494	2.671647	71.448711	90.994174
2025-11-10 15:06:30.7967	100.016661	62.450098	52.460455	-16.369919	2.664274	71.443015	90.998849
2025-11-10 15:06:31.2967	100.272280	62.450000	52.445116	-16.358158	2.678136	71.443270	90.999077
2025-11-10 15:06:31.7967	99.643102	62.450000	52.473348	-16.320582	2.677087	71.439133	90.995367
2025-11-10 15:06:32.2967	99.898588	62.449902	52.457423	-16.330221	2.672576	71.414265	90.973058
2025-11-10 15:06:32.7967	100.219769	62.400098	52.455909	-16.307751	2.674953	71.414739	90.983269
2025-11-10 15:06:33.2967	100.285531	62.400000	52.476095	-16.285456	2.682612	71.397804	90.968073
2025-11-10 15:06:33.7967	100.023081	62.400000	52.452639	-16.265589	2.682970	71.403347	90.973047
2025-11-10 15:06:34.2967	99.846298	62.350098	52.456394	-16.262505	2.685782	71.384141	90.965597
2025-11-10 15:06:34.7967	99.878719	62.350000	52.457303	-16.262704	2.689364	71.362171	90.945878
2025-11-10 15:06:35.2967	99.885145	62.399902	52.444807	-16.234187	2.686456	71.372851	90.945679
2025-11-10 15:06:35.7967	100.049494	62.350000	52.448181	-16.218563	2.683991	71.363341	90.946928
2025-11-10 15:06:36.2967	99.898426	62.300000	52.448917	-16.204485	2.679819	71.339421	90.935239
2025-11-10 15:06:36.7967	99.859254	62.300000	52.441764	-16.190274	2.674656	71.336048	90.932210
2025-11-10 15:06:37.2967	100.305172	62.250098	52.463777	-16.165879	2.675358	71.333844	90.940018
2025-11-10 15:06:37.7967	100.160898	62.299902	52.464739	-16.140314	2.684215	71.325792	90.923001
2025-11-10 15:06:38.2967	99.787280	62.300000	52.446327	-16.142834	2.684165	71.319808	90.917628
2025-11-10 15:06:38.7967	99.793802	62.250000	52.466393	-16.130670	2.683527	71.311654	90.920090
2025-11-10 15:06:39.2967	99.846202	62.250098	52.448847	-16.122710	2.683578	71.300804	90.910346
2025-11-10 15:06:39.7967	100.272177	62.250000	52.449321	-16.098209	2.683373	71.294125	90.904347
2025-11-10 15:06:40.2967	100.049391	62.249902	52.465785	-16.090199	2.687851	71.284971	90.896124
2025-11-10 15:06:40.7967	99.879087	62.200000	52.449039	-16.071836	2.690921	71.269121	90.891669
2025-11-10 15:06:41.2967	99.944546	62.200000	52.452931	-16.060362	2.687184	71.250118	90.874594
2025-11-10 15:06:41.7967	100.062436	62.150098	52.456731	-16.044254	2.680555	71.254440	90.888265
2025-11-10 15:06:42.2967	100.154228	62.150098	52.451060	-16.014869	2.675699	71.244642	90.879459
2025-11-10 15:06:42.7967	100.010477	62.150000	52.464690	-15.998655	2.676494	71.231233	90.867408
2025-11-10 15:06:43.2967	99.806751	62.150000	52.448787	-15.990798	2.676928	71.228199	90.864680
